carpetArea,areaUnit,price,status,latitude,longitude,locality,propertyName,floors,bedRoom
917.5,sq.ft.,9796430,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,32,1
406.85,sq.ft.,4741049,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,32,2
580.265,sq.ft.,6803589,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,32,3
760.97,sq.ft.,9546755.5,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,32,1
1161,sq.ft.,price on req,Ready To Move,19.168341,73.073962,Dombivli East,Lodha Palava City,7,2
686,sq.ft.,5300000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Casa Rio Dombivli East,7,2
725,sq.ft.,5600000,Ready to move,19.1866474,73.0751092,Dombivli East,Runwal My City,32,2
560,sq.ft.,4700000,Ready to move,19.1792514,73.0642398,Dombivli East,Runwal My City,32,2
550,sq.ft.,5300000,Ready to move,19.1761009,73.0691217,Dombivli East,Runwal My City,32,2
590,sq.ft.,5500000,Ready to move,19.1435663,73.0778838,Dombivli East,Lodha Casa Rio Dombivli East,18,3
798,sq.ft.,6700000,Ready to move,19.1509022,73.0791748,Dombivli East,Lodha Casa Rio Dombivli East,8,2
685,sq.ft.,5500000,Ready to move,19.1712995,73.1116104,Dombivli East,Lodha Lakeshore Greens,18,1
2265,sq.ft.,price on req,Ready To Move,19.21019,73.094981,Dombivli East,Ganraj Eknath Residency,7,1
944.5,sq.ft.,price on req,Under Construction,19.222866,73.105156,thakurli,Ganraj height,12,1
510,sq.ft.,3250000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
638,sq.ft.,4350000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
734,sq.ft.,5750000,Ready to move,19.22272,73.11057,thakurli,SS Balaji krishana,23,1
585,sq.ft.,4100000,Ready to move,19.20697,73.096559,Dombivli East,On request,20,1
430,sq.ft.,3200000,Ready to move,19.18308,73.08716,Dombivli East,runwal garden,22,2
590,sq.ft.,4600000,Ready to move,19.18308,73.08716,Dombivli East,runwal garden,22,1
430,sq.ft.,3100000,Ready to move,19.184181,73.08606,Dombivli East,runwal garden,20,3
750,sq.ft.,7000000,Ready to move,19.20697,73.096559,Dombivli East,On Request,4,1
525,sq.ft.,4800000,Ready to move,19.20697,73.096559,Dombivli East,On Request,5,1
550,sq.ft.,4300000,Ready to move,19.20697,73.096559,Dombivli East,Guru Milan CHS,4,1
425,sq.ft.,3200000,Ready to move,19.21423,73.091156,Dombivli East,praful chs.,4,1
525,sq.ft.,3500000,Ready to move,19.213964,73.09387,Dombivli East,matru shrsdha chs.,4,1
350,sq.ft.,3100000,Ready to move,19.209517,73.09159,Dombivli East,vashant vihar,3,2
800,sq.ft.,7000000,Ready to move,19.20697,73.096559,Dombivli East,on request,15,2
